patientID	dataType	batch	path
cd39-01-s1	5gex	1	./data/cd39-01-s1/5gex/filtered_feature_bc_matrix/
cd39-01-s1	tcr	1	./data/cd39-01-s1/tcr/
cd39-01-s4	5gex	2	./data/cd39-01-s4/5gex/filtered_feature_bc_matrix/
cd39-01-s4	tcr	2	./data/cd39-01-s4/tcr/
cd39-01-s2	5gex	1	./data/cd39-01-s2/5gex/filtered_feature_bc_matrix/
cd39-01-s2	tcr	1	./data/cd39-01-s2/tcr/
cd39-01-s5	5gex	2	./data/cd39-01-s5/5gex/filtered_feature_bc_matrix/
cd39-01-s5	tcr	2	./data/cd39-01-s5/tcr/
cd39-01-s3	5gex	1	./data/cd39-01-s3/5gex/filtered_feature_bc_matrix/
cd39-01-s3	tcr	1	./data/cd39-01-s3/tcr/
cd39-01-s6	5gex	2	./data/cd39-01-s6/5gex/filtered_feature_bc_matrix/
cd39-01-s6	tcr	2	./data/cd39-01-s6/tcr/
